City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,susuman,62.7833,148.1667,-37.23,99,94,0.89,RU,1708641006
83,port saint john's,-31.6229,29.5448,22.08,91,100,1.38,ZA,1708641007
84,san luis de la loma,17.2706,-100.8939,27.85,63,0,4.38,MX,1708641008
85,udachny,66.4167,112.4,-26.92,85,91,1.53,RU,1708641008
86,benguela,-12.5763,13.4055,27.55,77,100,1.68,AO,1708641009
87,isna,25.2934,32.554,19.01,19,99,3.63,EG,1708640766
88,codrington,-38.2667,141.9667,16.92,59,95,7.72,AU,1708641011
89,melfi,40.9965,15.6514,9.31,92,73,3.28,IT,1708641012
90,guangming,45.3333,122.7833,-12.27,59,0,1.37,CN,1708641012
91,montenegro,42.5,19.3,6.7,81,40,0.0,ME,1708641013
92,hotan,37.0997,79.9269,-3.58,75,99,1.88,CN,1708640799
93,poso,-1.3959,120.7524,25.56,77,12,1.88,ID,1708640944
94,balotra,25.8333,72.2333,16.48,21,0,3.49,IN,1708641014
95,borba,-4.3878,-59.5939,27.95,65,37,1.15,BR,1708641014
96,gadzhiyevo,69.2551,33.3362,-1.08,89,100,8.18,RU,1708641015
97,carutapera,-1.195,-46.02,23.53,97,100,1.6,BR,1708641016
98,kaa-khem,51.6833,94.7333,-36.44,94,82,0.98,RU,1708641016
99,tromso,69.6496,18.957,0.01,69,0,3.6,NO,1708640798
100,la'ie,21.6477,-157.9253,27.98,62,82,6.06,US,1708641016
101,tecuci,45.8497,27.4344,7.81,58,99,6.93,RO,1708641017
102,santana,-0.0583,-51.1817,30.1,66,20,5.14,BR,1708641017
103,mogocha,53.7333,119.7667,-27.56,100,18,1.3,RU,1708641018
104,namibe,-15.1961,12.1522,24.18,80,100,3.19,AO,1708641019
105,yellowknife,62.456,-114.3525,-14.77,93,75,4.63,CA,1708640934
106,jamestown,42.097,-79.2353,7.77,97,100,0.45,US,1708641019
107,arar,30.9753,41.0381,12.01,47,0,3.09,SA,1708641020
108,coahuayana de hidalgo,18.7,-103.6583,28.63,58,0,2.69,MX,1708641020
109,vernon,50.2581,-119.2691,10.34,74,100,1.03,CA,1708641021
110,fort bragg,35.139,-79.006,18.23,38,0,6.69,US,1708641021
111,kyshtovka,56.555,76.6271,-25.37,93,99,2.68,RU,1708641022
112,mount gambier,-37.8333,140.7667,15.9,58,100,5.04,AU,1708641022
113,chukhloma,58.7525,42.6825,-7.73,92,98,4.02,RU,1708641023
114,yusufeli,40.8204,41.5443,5.75,96,100,1.85,TR,1708641026
115,taulaga,-11.0553,-171.0883,29.04,75,47,4.85,AS,1708641026
116,utrik,11.2278,169.8474,26.53,85,48,9.38,MH,1708641027
117,port elizabeth,-33.918,25.5701,18.51,93,100,3.6,ZA,1708641015
118,avarua,-21.2078,-159.775,29.03,89,75,3.6,CK,1708641027
119,ta`u,-14.2336,-169.5144,28.69,76,79,5.36,AS,1708641029
120,rio grande,-32.035,-52.0986,26.06,84,9,5.14,BR,1708641029
121,uturoa,-16.7333,-151.4333,28.52,71,88,4.36,PF,1708641029
122,magnitogorsk,53.4186,59.0472,-21.25,70,76,4.0,RU,1708641029
123,new norfolk,-42.7826,147.0587,17.72,64,78,5.15,AU,1708641030
124,afaahiti,-17.75,-149.2833,29.93,78,93,3.6,PF,1708641030
125,haiku-pauwela,20.9219,-156.3051,25.09,65,27,3.58,US,1708641031
126,tsiombe,-25.3,45.4833,23.48,95,6,3.61,MG,1708641031
127,abdulino,53.7,53.6667,-24.05,100,29,0.8,RU,1708641033
128,hilo,19.7297,-155.09,24.49,88,12,1.79,US,1708640994
129,lensk,60.7253,114.9278,-28.83,100,98,1.55,RU,1708641033
130,klyuchi,52.2667,79.1667,-24.59,86,61,2.92,RU,1708641034
131,zaragoza,41.6561,-0.8773,8.25,75,75,6.69,ES,1708640987
132,bikin,46.8161,134.26,-20.15,98,82,1.32,RU,1708641035
133,yulinshi,38.2906,109.7494,-11.18,96,64,0.96,CN,1708641036
134,chimoio,-19.1164,33.4833,21.92,88,0,1.33,MZ,1708641036
135,nchelenge,-9.3451,28.734,22.18,86,100,0.85,ZM,1708641037
136,santona,43.4439,-3.4576,11.71,68,22,8.05,ES,1708641037
137,tiksi,71.6872,128.8694,-26.57,97,85,3.7,RU,1708641038
138,ketchikan,55.3422,-131.6461,6.3,81,100,6.17,US,1708641038
139,lihue,21.9789,-159.3672,26.58,65,54,4.4,US,1708641038
140,agadez,19.75,10.25,19.04,16,0,3.22,NE,1708640755
141,yatou,37.15,122.3833,-4.29,82,100,3.38,CN,1708641039
142,khovd,48.0056,91.6419,-21.2,80,0,1.31,MN,1708640753
143,bel ombre,-4.6167,55.4167,28.91,84,40,4.12,SC,1708641039
144,arraial do cabo,-22.9661,-42.0278,26.92,83,75,7.72,BR,1708641039
145,ipinda,-9.4833,33.9,23.54,92,100,1.35,TZ,1708641040
146,biharamulo,-2.6319,31.3089,17.27,75,99,1.08,TZ,1708641040
147,huarmey,-10.0681,-78.1522,25.73,76,93,2.95,PE,1708641041
148,pathein,16.7833,94.7333,20.3,90,11,2.58,MM,1708641041
149,ancud,-41.8697,-73.8203,14.24,74,31,3.77,CL,1708641042
150,waitara,-38.925,174.25,18.33,74,100,2.25,NZ,1708641042
151,sitka,57.0531,-135.33,5.94,81,100,7.2,US,1708641043
152,coronel dorrego,-38.7187,-61.2873,16.38,87,100,2.65,AR,1708641043
153,mihailesti,44.3267,25.9083,9.34,66,98,1.76,RO,1708641043
154,punta arenas,-53.15,-70.9167,9.06,53,75,10.29,CL,1708640926
155,vanimo,-2.6741,141.3028,26.27,86,99,1.12,PG,1708641044
156,berber,18.0216,33.983,24.03,66,100,7.22,SD,1708641045
157,yamada,39.4667,141.95,-0.69,65,99,1.3,JP,1708641045
158,sao jose da coroa grande,-8.8978,-35.1478,27.54,81,51,3.74,BR,1708641045
159,zakamensk,50.3741,103.2863,-23.75,96,100,1.09,RU,1708641046
160,isafjordur,66.0755,-23.124,-2.42,95,100,15.07,IS,1708641046
161,miranda,3.2499,-76.2281,29.07,74,100,1.05,CO,1708641303
162,papao,-17.75,-149.55,30.82,72,98,2.03,PF,1708641047
163,edinburgh of the seven seas,-37.0676,-12.3116,16.75,78,86,8.07,SH,1708641047
164,julayjilah,25.5,49.6,15.28,54,1,1.71,SA,1708641048
165,arno,60.1167,18.6333,1.55,94,100,6.94,SE,1708641049
166,melfort,52.8667,-104.6177,1.07,60,71,2.57,CA,1708641050
167,hawaiian paradise park,19.5933,-154.9731,24.46,82,10,1.34,US,1708641051
168,dauphin,51.1494,-100.0502,-1.92,74,0,6.69,CA,1708641051
169,majene,-3.5403,118.9707,25.64,86,100,2.06,ID,1708640887
170,dalbandin,28.8947,64.4101,9.61,23,0,1.95,PK,1708641052
171,crane,31.3974,-102.3501,22.63,16,0,7.32,US,1708641052
172,south lake tahoe,38.9332,-119.9844,8.11,49,0,3.09,US,1708641053
173,rongelap,11.1635,166.8941,26.4,84,87,10.77,MH,1708641053
174,bouarfa,32.53,-1.95,11.42,21,37,2.42,MA,1708641054
175,n'zeto,-7.2312,12.8666,27.44,81,100,1.06,AO,1708641054
176,flin flon,54.7682,-101.865,-12.09,52,100,4.12,CA,1708641054
177,upington,-28.4478,21.2561,27.21,14,0,3.42,ZA,1708641012
178,manicore,-5.8092,-61.3003,28.82,61,64,1.13,BR,1708641055
179,marsh harbour,26.5412,-77.0636,21.02,57,42,3.23,BS,1708641055
180,diffa,13.3154,12.6113,23.26,41,93,4.7,NE,1708641055
181,rancho palos verdes,33.7445,-118.387,22.48,73,20,5.66,US,1708641056
182,tahe,52.3333,124.7333,-24.4,97,5,1.83,CN,1708641057
183,bonthe,7.5264,-12.505,26.31,87,79,4.46,SL,1708641057
184,dudinka,69.4058,86.1778,-17.99,94,100,10.73,RU,1708641057
185,bilibino,68.0546,166.4372,-27.19,96,99,0.65,RU,1708641058
186,vanino,49.0869,140.2543,-20.6,77,10,2.15,RU,1708641058
187,crucecita,-28.95,-58.9833,29.36,42,97,3.48,AR,1708641058
188,slobodskoy,58.7322,50.1772,-16.3,98,58,2.48,RU,1708641059
189,vila franca do campo,37.7167,-25.4333,13.23,74,99,2.94,PT,1708641059
190,ashburton,-37.8626,145.0794,20.01,53,76,2.24,AU,1708641060
191,castillos,-34.1667,-53.8333,21.77,84,42,4.55,UY,1708641060
192,valparaiso,-33.0393,-71.6273,23.41,69,75,4.63,CL,1708641062
193,palangkaraya,-2.2,113.8333,23.55,97,38,1.0,ID,1708641020
194,jaito,30.4667,74.8833,7.94,39,0,1.91,IN,1708641063
195,san felipe,10.3399,-68.7425,23.31,73,10,2.89,VE,1708641063
196,kirakira,-10.4544,161.9205,29.92,75,100,3.4,SB,1708641063
197,alofi,-19.0595,-169.9187,25.94,94,75,1.03,NU,1708641064
198,sona,45.4388,10.8255,9.16,93,75,3.6,IT,1708641064
199,atafu village,-8.5421,-172.5159,28.89,77,99,5.66,TK,1708641065
200,rosarito,32.3333,-117.0333,20.78,67,39,5.96,MX,1708641066
201,san julian,21.0167,-102.1667,25.66,12,26,4.45,MX,1708641066
202,namsos,64.4662,11.4957,6.03,65,95,6.69,NO,1708641067
203,puerto ayacucho,5.6639,-67.6236,31.55,33,39,3.28,VE,1708641067
204,bamboo flat,11.7,92.7167,22.05,94,18,1.03,IN,1708641068
205,hailar,49.2,119.7,-33.81,100,42,2.08,CN,1708641068
206,romodanovo,54.4275,45.3296,-16.07,96,77,3.31,RU,1708641069
207,marte,12.3611,13.8246,23.92,54,73,7.17,NG,1708641069
208,alausi,-2.2,-78.8333,11.95,80,93,1.89,EC,1708641069
209,west end,26.6833,-78.9667,22.99,72,21,3.87,BS,1708641069
210,ambalavao,-21.8333,46.9333,19.45,95,90,1.33,MG,1708641070
211,mitu,1.1983,-70.1733,27.61,56,68,1.02,CO,1708641070
212,scarborough,54.2797,-0.4044,3.76,84,82,2.68,GB,1708641071
213,kalmunai,7.4167,81.8167,24.2,84,4,1.43,LK,1708641071
214,glace bay,46.1969,-59.957,-1.23,96,100,5.14,CA,1708641072
215,albu kamal,34.45,40.9186,15.48,45,82,4.33,SY,1708641072
216,tazacorte,28.629,-17.9293,19.54,81,100,6.69,ES,1708641073
217,badger,64.8,-147.5333,-0.86,75,100,7.2,US,1708641074
218,kayyerkan,69.3786,87.7439,-18.17,84,100,7.1,RU,1708640860
219,beihai,21.4833,109.1,17.79,80,100,7.04,CN,1708641074
220,conception bay south,47.4999,-52.9981,-1.42,95,100,6.69,CA,1708641075
221,georgetown,5.4112,100.3354,26.96,83,20,1.54,MY,1708641044
222,la ronge,55.1001,-105.2842,-9.86,73,100,6.69,CA,1708641076
223,general pico,-35.6566,-63.7568,16.34,94,100,5.13,AR,1708641077
224,kazanka,47.8462,32.8218,3.47,92,100,5.46,UA,1708641078
225,fraserburgh,57.6874,-2.0184,2.84,73,23,3.34,GB,1708641078
226,aasiaat,68.7098,-52.8699,-19.49,98,100,2.78,GL,1708641078
227,mount isa,-20.7333,139.5,24.87,83,23,3.09,AU,1708641079
228,east london,-33.0153,27.9116,21.21,90,100,4.57,ZA,1708641079
229,ribeira grande,38.5167,-28.7,13.76,75,85,4.47,PT,1708641080
230,nova vicosa,-17.8919,-39.3719,25.64,91,70,3.75,BR,1708641080
231,neiafu,-18.65,-173.9833,26.38,100,100,1.03,TO,1708641081
232,zouerate,22.7187,-12.4521,19.7,12,0,5.16,MR,1708641081
233,naze,28.3667,129.4833,16.51,84,98,4.28,JP,1708641082
234,fisterra,42.9049,-9.2629,9.3,69,86,12.98,ES,1708641082
235,rada tilly,-45.9333,-67.5333,20.27,22,20,8.75,AR,1708641082
236,illizi,26.4833,8.4667,12.89,33,0,2.74,DZ,1708641083
237,nagqu,31.5,92.0,-9.3,47,100,3.72,CN,1708641084
238,n'dalatando,-9.2978,14.9116,21.52,99,100,1.14,AO,1708641085
239,cabo san lucas,22.8909,-109.9124,27.01,60,20,4.12,MX,1708641085
240,vila velha,-20.3297,-40.2925,25.97,99,100,2.06,BR,1708640880
241,isla vista,34.4133,-119.861,20.99,68,40,3.09,US,1708641086
242,villa gesell,-37.2639,-56.973,23.36,76,100,7.04,AR,1708641008
243,saint-leu,-21.15,55.2833,26.46,88,90,5.67,RE,1708640948
244,mokhsogollokh,61.4681,128.9203,-32.11,100,98,1.71,RU,1708641088
245,zhezqazghan,47.7833,67.7667,-19.01,99,64,3.6,KZ,1708641088
246,usinsk,65.9939,57.5281,-6.62,91,100,9.63,RU,1708641089
247,aromashevo,56.8602,68.6375,-26.77,91,99,2.77,RU,1708641090
248,prado,-17.3411,-39.2208,25.18,94,100,3.69,BR,1708641091
249,melo,-32.3667,-54.1833,25.4,63,47,6.15,UY,1708641092
250,oneonta,42.4529,-75.0638,5.72,79,100,4.01,US,1708641092
251,chonchi,-42.6128,-73.8092,16.56,73,36,2.45,CL,1708641092
252,saipan,15.1355,145.701,26.39,83,75,7.2,MP,1708641092
253,kapuskasing,49.4169,-82.4331,1.05,64,100,3.6,CA,1708641093
254,lompoc,34.6391,-120.4579,19.08,65,0,4.63,US,1708641093
255,st. john's,47.5649,-52.7093,-1.29,95,100,7.2,CA,1708641094
256,carnot,4.9409,15.8665,27.96,30,100,0.65,CF,1708641095
257,khandyga,62.6667,135.6,-45.11,100,81,0.86,RU,1708641095
258,minas de marcona,-15.2119,-75.1103,20.44,82,99,4.37,PE,1708641096
259,port macquarie,-31.4333,152.9167,26.24,62,4,2.48,AU,1708640801
260,kishangarh,26.5667,74.8667,13.23,25,0,2.52,IN,1708641097
261,al burayqah,30.4062,19.5739,16.83,49,6,5.6,LY,1708641098
262,hami,42.8,93.45,-7.75,70,20,0.48,CN,1708641099
263,broome,42.2506,-75.833,3.72,90,100,3.13,US,1708641099
264,abu jibeha,11.4562,31.2285,28.47,19,58,3.93,SD,1708641099
265,tres palos,18.1833,-101.6167,29.86,45,0,3.24,MX,1708641100
266,nishinoomote,30.7333,131.0,15.51,85,100,8.18,JP,1708641041
267,kingston,17.997,-76.7936,26.53,53,20,3.6,JM,1708640883
268,kourou,5.1552,-52.6478,28.03,74,59,4.7,GF,1708641101
269,turkmenbasy,40.0222,52.9552,2.43,87,100,3.09,TM,1708641101
270,inari,68.906,27.0288,0.11,89,99,5.97,FI,1708641102
271,khanty-mansiysk,61.0042,69.0019,-17.72,60,0,3.13,RU,1708640869
272,talnakh,69.4865,88.3972,-18.22,94,100,7.62,RU,1708640860
273,koryazhma,61.3143,47.1691,-7.27,93,99,3.86,RU,1708641102
274,nova sintra,14.8667,-24.7167,20.97,69,94,8.55,CV,1708641103
275,inza,53.8533,46.3586,-18.51,98,74,2.96,RU,1708641103
276,puerto deseado,-47.7503,-65.8938,11.89,70,97,6.26,AR,1708641104
277,margate,51.3813,1.3862,4.5,85,65,5.36,GB,1708641104
278,gislaved,57.3044,13.5408,5.33,86,100,0.89,SE,1708641104
279,billings,45.7833,-108.5007,12.94,34,40,8.75,US,1708641105
280,arquitecto tomas romero pereira,-26.4833,-55.25,26.99,52,100,1.6,PY,1708641105
281,napier,-39.4833,176.9167,21.67,55,96,1.31,NZ,1708641043
282,amboasary,-25.0333,46.3833,23.33,90,4,2.14,MG,1708641106
283,san andres,12.5847,-81.7006,27.01,57,20,5.66,CO,1708641106
284,zaozersk,69.4005,32.4476,-1.73,92,100,7.77,RU,1708641106
285,port douglas,-16.4833,145.4667,27.52,79,91,2.63,AU,1708641107
286,port blair,11.6667,92.75,22.02,94,15,1.03,IN,1708641108
287,charters towers,-20.1,146.2667,24.9,82,97,3.41,AU,1708641082
288,tolanaro,-25.0319,46.9987,25.04,94,20,9.26,MG,1708641108
289,copala,16.65,-98.9833,28.12,58,0,4.53,MX,1708641109
290,okhotsk,59.3833,143.3,-25.07,78,31,7.92,RU,1708641109
291,colonia,50.9333,6.95,9.34,69,20,9.77,DE,1708641110
292,olonkinbyen,70.9221,-8.7187,-0.5,94,99,8.27,SJ,1708641110
293,tosno,59.54,30.8775,1.9,98,100,3.65,RU,1708641111
294,dryden,49.7833,-92.7503,1.16,64,100,4.12,CA,1708641111
295,nikolayevsk-on-amure,53.1406,140.73,-21.69,88,38,2.54,RU,1708641111
296,arkhangel'sk,64.5401,40.5433,-1.94,86,100,4.0,RU,1708641112
297,hammerfest,70.6634,23.6821,-0.75,80,0,2.57,NO,1708641112
298,selfoss,63.9331,-20.9971,-1.09,88,100,3.75,IS,1708641112
299,cartagena del chaira,1.3349,-74.8429,29.5,58,16,1.35,CO,1708641113
300,revda,56.801,59.9303,-19.63,99,99,2.21,RU,1708641113
301,mhamid,29.82,-5.72,17.25,19,13,2.69,MA,1708641114
302,saldanha,-33.0117,17.9442,16.03,78,0,8.22,ZA,1708641114
303,aykhal,66.0,111.5,-24.01,79,93,2.01,RU,1708641115
304,homer,59.6425,-151.5483,2.93,61,40,8.49,US,1708641115
305,vadso,70.0744,29.7487,0.09,86,75,5.66,NO,1708641115
306,sanandaj,35.3144,46.9923,0.01,80,0,0.0,IR,1708641116
307,hafar al-batin,28.4328,45.9708,14.32,51,0,2.57,SA,1708641117
308,paris,48.8534,2.3488,6.73,79,0,6.17,FR,1708640822
309,oranjemund,-28.55,16.4333,15.79,91,0,4.77,NA,1708641117
310,ghat,24.9647,10.1728,12.83,32,6,1.4,LY,1708641118
311,praia da vitoria,38.7333,-27.0667,14.14,67,75,4.33,PT,1708641118
312,nar'yan-mar,67.6713,53.087,-4.94,91,100,7.15,RU,1708641119
313,tidjikja,18.5564,-11.4271,20.72,11,95,7.0,MR,1708641119
314,porto novo,6.4965,2.6036,28.59,79,92,3.33,BJ,1708641120
315,taro,-8.3862,115.28,23.0,93,100,1.01,ID,1708641120
316,nelson,-41.2833,173.2833,19.29,62,53,2.21,NZ,1708641021
317,keflavik,64.0049,-22.5624,0.95,93,100,12.35,IS,1708641121
318,guerrero negro,27.9769,-114.0611,18.45,62,98,6.13,MX,1708641121
319,coquimbo,-29.9533,-71.3436,22.85,60,20,4.63,CL,1708641122
